text,label
"never again will I click on a link that screams, ;I am a spider, I am a spider;. I should have known better. yucky",1
"Never again will I click on a link that screams, ""I'm a spider, I'm a spider."" I should have known better.",1
"ne'er over again will I click on a connection that screams , ; I be a wanderer , Atomic number 53 am a spider ; . I should take in recognize better . yucky",1
"Never again do I click on a link that screams: I am a wanderer, atomic number 53 is a spider; I should know better.",1
"never again will i i click on such a private link , that screams , ; i am not a spider , i am not a spider ; . i should have known him better . @ yu -cky",1
"Never again will I click on such a private link that screams; I am not a spider, I am not a spider;. I should have known better. @ yu -cky",1
"never again will i turn on the link which says , ; i am a spider , i am a demon ; . or kind of remembered better . yucky",1
"Never again will I turn on the link that says; I am a spider, I am a demon;. or somehow better remembered.",1
"i should be sleeping, i have a stressed out week coming to me.",1
"I should sleep, I have a stressful week ahead of me.",1
"1 should be kip , i have a stressed come out week coming to pine tree state .",1
"1 should be Ukip, I'm having a stressful coming-out week coming into the pine state.",1
"although i should be just sleeping , i probably have a stressed out week coming to get me .",1
"Although I was supposed to be sleeping, I probably have a stressful week ahead of me.",1
"i should try sleeping , i feel another stressed out week coming over me .",1
"I should try to sleep, I feel like another stressful week is coming up.",1
"I hate my life, I should die",1
"One hate my living , I should die",1
"Man hates my life, I should die",1
"i hate my life , and i should all die",1
I hate my life and I should all die,1
"i live my life , i will die",1
"I live my life, I will die",1
"seriously, I should not be this tired. I need deep sleep, not this pissy tossing and turning moan moan moan!",1
"Seriously, I should not be so tired. I need deep sleep, not this pissing moaning and twisting!",1
"earnestly , I should not be this tired . I need recondite quietus , non this pissy tossing and turn moan moan moan !",1
"Seriously, I shouldn't be so tired. I need recondite squeaky, don't throw that pissy and turn moaning moan!",1
"seriously , actually i should not really be feeling this tired . actually i just need deep sleep , not this pissy ... tossing and turning moan moan moan moan !",1
"seriously, actually i shouldn't feel so tired. actually i just need deep sleep, not this pissy... throwing back and forth moaning moan moan!",1
"seriously , i should not be this pathetic . just need deep sleep , and some piss - tossing , turning moan moan song !",1
"seriously, i shouldn't be so pathetic. i just need deep sleep and a few piss - throw, turn moan song!",1
"I know I shouldn't feel upset about losing a follower. Who was probably a porn star or trying to sell me something. And yet, I do.",1
I know I shouldn't be upset about losing a follower who was probably a porn star or trying to sell me something.,1
"I know 1 shouldn ' t spirit upset astir losing a follower . Who be probably a porn whizz or trying to sell maine something . And nevertheless , I do .",1
I know you shouldn't get upset when you lose a follower who may be a porn star or trying to sell something.,1
"i just know i shouldn ' t feel upset today about about losing being a follower . who was just probably a porn star or someone trying just to sell me something . "" and yet , i really do .",1
